,DRUG, UTERUS, OVERIES,   CERVIX,BREAST,VAGINA,MENSTRUATION, LEUCORRHOEA,Unnamed: 8,FLOW NATURE,  FIBROIDS, ASSOCIATED SYMPTOMS, EXTERMITIES,BACK,MILK, ORGANS ASSOCIATE        , PREGNANCY,LABOR, SUPPRESSION, MIND, ERUPTION,GENITALS,MENOPAUSE,ABORTION,PREGNENCY,AMENORRHOEA,CLIMACTERIC,URETHRA,WORSE,BETTER,ABDOMEN,DYSMENORRHOEA,Unnamed: 32,METRORRHAGIA,Unnamed: 34,PELVIS,NIGHT,DAY,LOCHIA,SEXUAL,DISEASE,SENSATION,FEVER,STERILITY,CIRCULATION,MENORRHAGE,Unnamed: 46,NON RELATED,NON RELATED.1,HEADACHE,0CCIPIT,BRAIN,FOREHEAD,Unnamed: 5,TEMPROL,Unnamed: 7,VERTEX,MODALITY,VERTIGO1,VOMITING,OTHERORGANS,HEAD POSITION,NOSE,FACE,EAR,ASSOCIATED SYMPTOMS,TEETH,Unnamed: 19,EYE,Unnamed: 21,MIND,STOOL,FEMALE,SCALP,VERTIGO2,TONGUE,Unnamed: 31,SLEEP,THROAT,HEART,Unnamed: 36,Unnamed: 37,SWEAT,STOMACH,EXTERMITIES,GLANDS,OCCIPUT,LIMBS,MUSCLES,BONES,VEINS,SCIATICA,SPINE,SKIN,SHOULDER,SCAPULA,CLAVICLE,UPPER LIMB,UPPER ARM,ELBOW,FOREARM,WRIST,PALMS,HANDS,FINGERS,NAILS,LOINS,LOWER LIMBS,SCIATICA.1,HIPS,THIGHS,KNEES,LEGS,CALF,ANKLES,HEEL,FOOTS,TOES,SOLES,JOINTS  ,LIGAMENTS,PAINS,SENSATIONS,Unnamed: 45,WALK,PAIN,NEUROLGIA,AXILLAE,PARALYSIS,Unnamed: 56,Unnamed: 57,KIDNEY,CHEST,NECK,DORSAL,LUMBAR,SACRUM,COCCYX,BLADDER,BONE,ASSOCIATE SYMPTOMS,MUSCLES.1,SHOULDERS, DISEASE,TENDON
557,Borax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inflamation balls of toe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feeling as of cobwebs on hands,itching back of finger joints and hands ,eczema toes fingers with loss of nails,,,,,,,,,,pain in heel,,burning pain great toe ,stitches in sole,,,,throbbing pain in tip of thumb,,,,,,,,,,,,,,,,,,,,,,
558,Bovista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tip of coccyx  itches intolerably,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oedema in joint after fracture ,,,,,"cumsiness with her hands,drops things from hands",,,,,,,,,,,,,,,,,,,,,,,moist eczema back of hands,,,,,,,,,,weariness hands and feet,,,,,,,,,,,,,itching feet and leg,,,great weakness all joints,,,,,,,,sweat auxilae onion smell,,,,,,,,,,,,,,,,,
559,Brachyglottis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soreness extending along flexor corpi ulnaris,,,,,,,,,,,,,,,,cramps in fingers thumb wrist when writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,Bryonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,constatnt motion left arm and leg,,,,,,,,,,,,,,knees stiff and painfull,,,,,hot swelling feet,,,joints red swollen hot with stitches tearing worse least movment,,,every spot painfull on pressure,,,,,,,,,,,,,,,,,,,,,,
561,Bufo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numbness limbs,,,,,swelling bones,,,,,,,,,,,,,,,,,pain in loins,,,,,,,,,,,,,,,,feeling asif a peg driven in joints,,cramps staggering gait,,,,,,,,,,,,,,,,,,,,
562,CactusGrandiflorus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numbness left arm,,,,,hands soft feet enlarged,,,,,,,,,restless legs,,,,oedema hands and feet icy cold hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,CalcareaArsenica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,removes inflamatory things product in veins lower extermities,,,,,,,,,,,,,,,,,weariness lameness of lower limbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,CalcareaCarbonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feet feel cold and dead at night,,,,rheumatoid pains after exposure wet,,,,,,,,,,,,,,,,,,,,,,,,,sharp sticking asif parts wrenched sprained,,,,,,,,,,,,,,,,,,,arthritic nodosities weariness extermities,,,,tearing muscles old sprains,,,,,,,,,,,,,,,sweat hands,,,,,,,,cold knees,,cramps calves,,,cold damp feet feel asif damp stocking wearing,,burning soles feet,swelling joints esp knee,,,sour foot sweat  soles feet raw,,,,,,,,,,,,,,,,,,,,,,
565,Calcarea Fluorica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exostoses fingers,,,,,,,,,,,,ganglia encysted tumor back wrist,,,gouty enlargement finger joints,,,,,,rachitic enlargement femur in infants,chrsynovitis knee joints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Calcarea Phosphorica,,,,,,,,,,,,,buttocks back limbs asleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stiff pain with cold numb worse change weather,,,,,,,,,,,,,,,,,,,,,,,,pains in joints and bones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crawling coldness,,weary going upstairs,,,,,,,,,,,,,,,,,,,,
567,Calcarea Sulphurica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,burning itching soles of feet,,,,,,,,,,,,,,,,,,,,,,,,,,
568,Camphora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatic pain between shoulders difficult movement,,,,,,,,,,,,,,,,,,,cramps calves,,,icy cold feet aches asif sprained,,,crackling joints,,,numbness tingling and coldness,,,,,,,,,,,,,,,,,,,,,,
569,Cannabis Indica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thrilling through arms hands from knees down,,,,,,,,,,,,,,,,,,,,,,,,pain across shoulders and spine must stoop,,,,,,,,,,,,,entire paralysis lower extermities,,,,sharp pain in knees and ankles,,,,,,,pain in soles and calves,,,,,,"can not walk erect, short walk exhausted",,,,,,,,,,,,,,,,,,,,
570,CannabisSativa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,contraction fingers after spains,,,,,,,dislocation patella on going upstairs,,,,,feet feel heavy on going upstairs,affection ball of foot and under part of toes,,,,,,,,paralytic tearing pains,,,,,,,,,,,,,,,,,,,
571,Cantharis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tearing in limbs,,,,,,,,,,,,,,,,,,,,,,pain in loins with incessant desire to urinate,,,,,,,,,,,,ulcerative pain soles can not step walk,,,,,,,,,,,,,,,,,,,,,,,,,,
572,Capsicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,worse coughing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sciatica worse bending backward,pain from hips to feet,,tensive pain in knees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,Carbo Animalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,straining overlifting produce great debility,,,,,,,,,,,,,,,,,,,,,,,,,,,night sweat fetid and profuse,,,,,,,,,wrist pain,,,,,,,,pain hip joints at night,,,,,ankles turns easily,,,,joints weak easy dislocation,,,,,,,,,,,,,,,,,,,,,,,,,,
574,Carbo Vegetabilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heavy stiff feel paralyzed,,,,,,,,,,,,,,,,,,,,,,,,burning pain ib bones and limbs,,,,,,,,,,,,,,,,,,,,,,cold from knees down,pain in shins leg tibia,,,,feet num sweaty,toes red swollen,cramp soles,joints weak,,,limbs go to sleep want muscular energy,,,,,,,,,,,,,,,,,,,,,,
575,Carbolicum Acidum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arthritis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gnawing painsin shin bones tibia,,,,,,,,,,,,cramp fore part leg close to tibia during walking,,,,,,,,,,,,,,,,,,,,
576,Carbonium Sulphuratum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lightning like pains with cramps,,,,,,,,,,,,,,,,,,,sore bruised limbs cramps,,,,,,,,,,,,,,anasthesia loss sensation arms hands,,,,,herpes dorsal back of hands,fingers swelling insensible senseless rigid stiff,,,pain lower limb with cramps and formication,sciatica flying pain retuns regularly for long time,,,,,,,,feet insensible or senseless,,,,,,,,gait unsteady tottering worse in dark night,,neuritis,,,,,,,,,,,,,,,,,,
577,CardusMarinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,worse stooping difficult rising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain hip joint spread through buttocks down thighs,,,,,,,weakness felt in feet esp after sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,CascaraSagrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatism muscle and joints with obstinate constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,Caulophyllum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erratic pain change places every few minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aching wrists,,cutting pan closing hands,,,,sever drawing erratic pain small joints fingers toes ankles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,Causticum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restless legs at night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slow learning walk unsteady walking easy falling,,,,,,,,,,,,,,,,,,,rheumatic tearing  in limbs better wamth esp heat of bed,,,,,,,left side sciatica with numbness,,,,,,,dull tearing pain hands arms,,unsteady muscles forearm hands,,,numbness loss sensation hands,,,,,,,,cracking tension stiffness hollow knee,,,weak ankles,,itching dorsum back under feet,,,burning in joints,contracted tendons,,heaviness weakness tearing joints,,can not walk without suffering,,,,paralysis single parts,,,,,,,,,,,,,,,,
581,CedronSimarubaFerroginea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shingles painful rash with radiating pain,,,,,,,,,,sudden pain ball right thumb extend arm to shoulder,,,,,,,,dropsy knee joint,,,,,sudden pain ball of right foot exten to knee,,,lancinating pain joints worse feet and hands,,,,,,,,,,,,,,,,,,,,,,,,,
582,Cereus Bonplandi,,,,,,,,,,,,,pain neck back shoulders down arms hands fingers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain knees joints lower extermities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,Chamomilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,violent rheumatic pains drives out of bed at night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insuportable pain in loins and hips,,,,,,,,ankles give way in the afternoon,,nightly paralytic loss lower in feet unable to step ,,burning soles night,,,,,,compelled to walk,,,,,,,,,,,,,,,,,,,,
584,ChelidoniumMajus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,whole flesh sore to touch,,,,,,,,,,,,,wrist sore,,,icy coldness fingers tips,,,paresis lower limbs with rigidity muscles,,rheumatic pain hips thighs,,,,,,intolerablepains heel asif pinched narrow shoe worse night,tearing pain metacarpal bones,,,,,,feels paralyzed,,,pain arms shoulders hands fingers tips,,,,,,,,,,,,,,,,,,,
585,Chimaphilia Umbellata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feelin band above left knee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,Chininum Arsenicosum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weak limbs,,,,,,,,,,,,,,,,coldness hand and feet knees limbs,,,,,,,,,,,,,,,,,,,,,,tearring pains,,,,,,,,,,,,,,,,,,,
587,Chromicum Acidum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uneasiness in limbs,,,,,,,pain shouldeer blades and back of neck,,,,,,,,,,,,,,,,,pain knees and ball of feet,,,,,,,drawing pain in soles when walking,,,,,,,,,,,,,,,,,,,,,,,,,,
588,Cimicifuga Racemosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatism affect belly of muscles esp large muscles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jerking in limbs,,,uneasy restless feeling limbs,aching limbs muscles soreness,,,,,,,,,,,,,,,,,,,heaviness in lower extermities,,,,,,,,heavy aching tend achillis,,,,,,,,,choreic movementsaccompanied rheumatism,heavy aching tensive pain,,,,,,,,,,,,,,,,,,,
589,Cina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nocturnal convulsion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,twitching jerking distortion lims trembling,,,,,,,,,,child throws arms from side to side,,,,,,,sudden inward jerking right hand fingers,,,,,,,,,,,,child stretches feet spasmodically,,,,,,,,left foot constant spasmodic movements,,,,paralyzed shocks jump suddenly as though in pain,,,,,,,,,,,,,,,,
590,Cinchona Officinalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,worse slight touch,better hard pressure,,,,,,,,worse mornings and when sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,averse to exercise sensitive to touch weariness of joints,,,,,,,,,,,,,,,,,,,sensation sting around limb,,,pain limbs and joints asif sprained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joints swollen very sensitive with dread or open air,,,great debility trembling with numb sensation,,,,,,,,,,,,,,,,,,,,,,
591,Cinnabaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain forearm from elbow down including hands,,,,,,,,,,pain long boneswhen barometer weather lowers,,,,,,,,,coldness joints,,,,,,,,,,,,,,,,,,,,,,,,,
592,Cistus Canadenesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white swelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sprained pain wrist,,tetter or unstedily on hands,finger tips sensitive to cold,,,syphilitic ulcers lower limbs with hard swelling around,,,,,,,,,cold feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,Cobaltum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trembling limbs,,,,,,,,,,,,,,aching wrist joints,,,,,,,,,shooting into thighs from liver,weak knees,,,,,tingling feet,foot sweat mostly between toes,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,cocculus,,,,,,,,,,,,,,,,,,,,,,,,,,,,lameness worse bending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numbness and unsteady,,,,,,,,,,,,,,,,,,,,,,limbs strightened out painfull when flexed,,,,,,,,,,,arms go to sleep,,,,,hand alternatly hot and cold,,,,lower limbs very weak,,,,knees crack on movements inflamation swelling knee,,,,,,,,,,,numbness cold sweat one after another hand,,,trembling and pain in limbs,,,one sided paralysis worse after sleep drawing painfull,,,,,,,,,,,,,,,,
595,Coffea Cruda,,,,,,,,,,,,,,,,,,,,,,,,,,,,worse movements afternoon night,better pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crural  thigh leg region neurolgia pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,Colchicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shifting rheumatism pain worse night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limb lame weak tingling,,,tearing limbs during warm weather stinging during cold,,,,,,,,,,,sharp pain down left arm,,,pins needles in hands wrists,,,finger tips numb,tingling finger nails,,,,,pain front thigh,knees strike together can hardly walk,oedema swelling coldness leg and feet,,,,plantar botom foot reflex abolished,inflamation ggreat toe,gout heel can not be touched or movement,joints stiff feverish,,,,,,pain worse evening and warm weather,,,,,,,,,,,,,,,,,,,
597,Colocynthis,,,,,,,,,,,,,,,,,,,,,,,,,,,,worse gentle touch,better pressure and heat ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sudden dislocatio luxation hip joints,,,,,,,,,,,,,,,,,,,,,,all limbs drawn together,contraction muscles,,,,,,pain in deltoid,,,,,,,,,,,,,,sciatica pain left side drawing tearing ,cramp like pain in hip,pain down right thigh muscle tendon too short,pain from hip to knee,,,,,,,,stffness joints and shortening tendons,,pain in left knee joint,numbness with pain,,,,,,,,,,,,,,,,,,,,,,
598,Conium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sweating perspiration hands,fingers toes numb,,,muscles weakness esp lower extermities,,,,,,,,,putting feet on chair relives better pain,,,,,,,,,,,,heavy weary paralyzed trembling unsteady hands,,,,,,,,,,,,,,,,
599,ConvallariaMajalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trembling hands,,,,,,,,,aches legs big toe,,aches wrists and ankles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,Cotyledon,,,,,,,,,,,,,aches in back and thighs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skin sensitive rubbing trousers causes acute sting,,,,,,,,,,,,,,,,,,,legs and arms feel heavy and sore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,Crocus Sativa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chorea hysteria with great alteration feeling,,,,,,,,,,,,,,,,,,spasmodic contraction twitching single set muscles,,,,,,,,,whole upper extermity falls asleep,,,,,,,,,,,,crackling in hip joint and knees,,,weakness in legs and knees,,,,,,pain ankles and soles,,,,,,,,,,,,,,,,,,,,,,,,,,
602,CrotalusHorridus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hands swelling tremble,,,,lower extermities go to sleep easily,,,,,,,,,,,,,,,,,,,,,right sided parlysis,,,,,,,,,,,,,,,,
603,Cuprum Arsenitum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,better getting out bed and standing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ulcers gangrene,,,,,,,,,,,,,,,,,,,,cramps calves worse after midnight ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,Cuprum Metallicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,great weriness limbs,jerking twitching muscles,,,,,,,,,,,,,coldness hand  cramps palms,,,clonic spasms begins fingers and toes,,,,,,,epilepsy aura begins in knees,,cramps calves and soles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,Curare Woorari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reflexes lessened or abolished,,,,,,,,,,,,,,,,,,,,,,,,,,,tired pain in up and down spine,favors development of corns,,,,,arms weak heavy,,,,,weakness hands fingers in pianists,,,,,,,,,legs tremble give way walking,,,,,,,,,,,,,,,,debility paralysis,catalepsy seizure loss concious with rigidity body,,,,,,,,,,,,,,,
606,Cyclamen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chilblains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain perosteum,,,,,,,,,,,,,,,cramp like contraction right thumb and index finger,,,,,,,,,,,burning sore pain in heels,,,,,,,,,,pain parts where bones near surface,,,,,,,,,,,,,,,,,,,
607,Daphne Indica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain shoots upward in to abdomen and heart,,,,,cold feeling on buttocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatic pain thighs and knees,,,,,right toe swollen painfull,,,,,,,,,shooting pains shift rapidly worse cold air,,,,,,,,,,,,,,,,,,,
608,Digitalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muscular debility,,,,,,,,,,,,,,,coldness hands and feet,nocturnal night swelling fingers,,,,,,,,,,,,,,,rheumatic pain in joints shining whit swelling joints,,,sensation legs asif red hot wire suddenly darted through them,,,,,,,,,,,,,,,,,,,,,,
609,Dioscorea Villosa,,,,,,,,,,,,,lameness back worse stooping,,,,,,,,,,,,,,,,sciatica pai better perfectly still,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,felons beginingwhen pricking is first felt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cramps in flexor bending finger toes,nails brittle,,,sciatica pains shoot down thigh worse right side better not moving ,,,,,,,,,,,aching stiffness in joints,,,,,,,,,,,,,,,,,,,,,,,,,
610,Drosera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bed feels too hard,,,,,,,,,,,,,,,,,all limbs feel lame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stiffness feet joints,,,,,,,,,paralytic pain in coxo femur joint and thighs,,,,,,,,,,,,,,,,
611,Duboisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trembling numbness weakness,,,,,,,,,,,,,,,,,,,,,,loss of power limbs staggers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feels asif he steppedon empty space,,,,,,,,,,,,,,,,,,,,,,
612,Dulcamara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatism alternates with diarrhoea,,,paralyzed limbs,,,,,,rheumatc symptoms after acute skin eruptions,,,,,,,,,,warts sweating perspiration palms hands,,,,,,,,,pain shin bone or leg,,,,feet icy cold,,,,,,,,,,,,paralysis,,,,,,,,,,,,,,,,
613,Echinacea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aching limbs and general lassitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,Elaps Corallinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vesicular eruption on feet,,,,,,,,,,arms and hands swollen bluish,pricking under nails,,,,,,,knee joint feel sprained,,,,,icy col feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,Elaterium Ecbalium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain extends down extermities,,,,,,,,,,,,,,,,,,,,sharp pains fingers thumbs kneestoes and instep,,,,,pain hip joint with diarrhoea,,,,,,,,gouty pain in great toes,,arthritic nodules,,,,,,,,,,,,,,,,,,,,,,,,,
616,Eucalyptus Globulus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatic pains worse at night walking or carring anything,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nodular swellings over metacarpal and metatarsal joint,,,,,,stiff weary  pricking  sensation followed painfull aching,,,,,,,,,,,,,,,,,,,,,,
